RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
2982;loswjadwigikrolowejwkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;142.8625;73.296875;98.4375;64.0;4.312384813036957;;;Srodek;Dzieci lub młodzież;gmina miejska;312.0
3099;lo;szczecin;ZACHODNIOPOMORSKIE;publiczna;106.40625;60.12962963;88.88888889;54.0;-1.258259856371268;;;Srodek;Dzieci lub młodzież;gmina miejska;415.0
3620;xlogdynskichnauczycielibohaterowiiwojnyswiatowej;gdynia;POMORSKIE;publiczna;160.87142857142857;70.49593496;100.0;123.0;-2.2411803434415987;;;Srodek;Dzieci lub młodzież;gmina miejska;474.0
3640;vilowaclawasierpinskiego;gdynia;POMORSKIE;publiczna;168.16875;76.10743802;100.0;121.0;1.8497374375807567;;;Srodek;Dzieci lub młodzież;gmina miejska;572.0
3893;iiilomikolajakopernika;szczecin;ZACHODNIOPOMORSKIE;publiczna;117.43333333333334;65.23863636;100.0;88.0;1.5529694287329008;;;Srodek;Dzieci lub młodzież;gmina miejska;513.0
3904;viiiloolimpijczykowpolskich;szczecin;ZACHODNIOPOMORSKIE;publiczna;103.475;57.86206897;72.4137931;87.0;-2.9150189170951464;;;Srodek;Dzieci lub młodzież;gmina miejska;330.0
3957;ixlomarszalkajozefapilsudskiego;gdynia;POMORSKIE;publiczna;148.45000000000002;64.1294964;99.28057554;139.0;-6.019293637182329;;;Srodek;Dzieci lub młodzież;gmina miejska;719.0
3963;ilomsklodowskiejcurie;szczecin;ZACHODNIOPOMORSKIE;publiczna;154.68333333333334;77.31455399;100.0;213.0;5.866888057271041;;;Srodek;Dzieci lub młodzież;gmina miejska;1036.0
3966;vilostefanaczarnieckiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;149.27499999999998;70.76315789;100.0;114.0;0.4424578078188688;;;Srodek;Dzieci lub młodzież;gmina miejska;652.0
4043;iiilocyprianakamilanorwidawkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;143.8;67.56470588;100.0;170.0;-1.615136630825333;;;Srodek;Dzieci lub młodzież;gmina miejska;852.0
4045;iakademickielozasluzonychludzimorza;gdynia;POMORSKIE;publiczna;155.17857142857142;70.78378378;98.64864865;74.0;-0.7670777930168526;;;Srodek;Dzieci lub młodzież;gmina miejska;513.0
4434;xxilostanislawaignacegowitkiewiczawitkacegowkrakowie;krakow nowa huta;MAŁOPOLSKIE;publiczna;69.55000000000001;70.6875;87.5;32.0;16.979561539068428;;;Liderzy;Dzieci lub młodzież;gmina miejska;143.0
4435;xlokomisjiedukacjinarodowejwkrakowie;krakow srodmiescie;MAŁOPOLSKIE;publiczna;168.6916666666667;76.7;100.0;190.0;2.33333623249311;;;Srodek;Dzieci lub młodzież;gmina miejska;758.0
4577;vilojuliuszaslowackiegowkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;159.6;69.75980392;100.0;204.0;-2.712376422317874;;;Srodek;Dzieci lub młodzież;gmina miejska;1058.0
4648;xvilokrzysztofakamilabaczynskiegowkrakowie;krakow nowa huta;MAŁOPOLSKIE;publiczna;105.49;54.94690265;94.73684211;114.0;-6.250062498516513;;;Srodek;Dzieci lub młodzież;gmina miejska;510.0
4735;vloaugustawitkowskiegowkrakowie;krakow srodmiescie;MAŁOPOLSKIE;publiczna;180.08125;81.17083333;100.0;240.0;4.430855885703835;;;Srodek;Dzieci lub młodzież;gmina miejska;948.0
4748;vlokspiotrasciegiennegowkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;137.475;65.07567568;99.45945946;185.0;-2.786189819167717;;;Srodek;Dzieci lub młodzież;gmina miejska;852.0
4881;ixlozygmuntawroblewskiegowkrakowie;krakow krowodrza;MAŁOPOLSKIE;publiczna;163.3625;72.792;100.0;125.0;-0.46419433541855426;;;Srodek;Dzieci lub młodzież;gmina miejska;493.0
5366;ivlocyprianakamilanorwidawbialymstoku;bialystok;PODLASKIE;publiczna;131.93055555555554;63.36681223;100.0;229.0;-3.33972515530359;;;Srodek;Dzieci lub młodzież;gmina miejska;987.0
5448;iilojanasniadeckiegowkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;161.82857142857142;73.54185022;100.0;228.0;0.605289496386618;;;Srodek;Dzieci lub młodzież;gmina miejska;1099.0
5756;ilostefanazeromskiegowkielcach;kielce;ŚWIĘTOKRZYSKIE;publiczna;155.225;75.93010753;100.0;186.0;4.369571365706165;;;Srodek;Dzieci lub młodzież;gmina miejska;825.0
